,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
30,11011609,MICHAEL B. EDGE,USA,United States,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
31,11012290,MOSSFON MANAGERS LTD.,BHS,Bahamas,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
32,11012621,GESTINA MANAGEMENT LTD.,LIE,Liechtenstein,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
33,11012623,SINITUS AG,CHE,Switzerland,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
34,11012911,OLGA SANTINI,,,,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
35,11013164,ACCLAIM LIMITED,IMN,Isle of Man,ACTIVE,Panama Papers,The Panama Papers  data is current through 2015,,,,,,,,,,
36,10003688,Medical World Limited,SAM,Samoa,IMN,Isle of Man,12-AUG-2010,08-FEB-2012,15-FEB-2013,,R46333,Discontinued,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
37,10034270,VISION INTERNATIONAL CORP.,NIUE,Niue,BLZ,Belize,22-NOV-1996,06-NOV-1997,22-JUL-1998,,001365,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
38,10037228,WORLD VISION LIMITED,NIUE,Niue,JEY,Jersey,07-APR-1998,16-DEC-2003,07-DEC-2003,,002990,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
39,10106174,EAST MEETS WEST LTD.,BVI,British Virgin Islands,HKG,Hong Kong,04-MAY-2004,,,,595001,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
40,10081538,UNITED STATES LIMITED,BVI,British Virgin Islands,HKG,Hong Kong,04-MAY-1998,02-NOV-1999,31-OCT-1999,,278311,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
41,10083101,COSPAR LTD.,BVI,British Virgin Islands,LIE,Liechtenstein,22-JUL-1999,02-MAY-2007,30-APR-2007,,335550,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
42,10159381,CARITAS FOUNDATION,PMA,Panama,GBR,United Kingdom,19-MAY-2000,23-FEB-2001,19-AUG-2001,,30,Dissolved,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
43,10134266,MARIE INTERNATIONAL LIMITED,BVI,British Virgin Islands,MCO,Monaco,15-APR-2009,,31-OCT-2013,,,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
44,10134866,GOODWILL INTERNATIONAL LIMITED,BVI,British Virgin Islands,HKG,Hong Kong,11-MAY-2007,06-NOV-2014,31-OCT-2014,,,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
45,10150136,Medical World Limited,BVI,British Virgin Islands,IMN,Isle of Man,18-JAN-2012,30-MAY-2012,31-OCT-2013,,,Changed agent,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
46,10161735,VILLAGE FOUNDATION,PMA,Panama,BLZ,Belize,14-MAR-2001,04-JUL-2005,30-JUN-2005,,05,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
47,10162331,THE CAPRICORN CHILDREN'S FOUNDATION,PMA,Panama,USA,United States,20-APR-2001,05-JUL-2004,20-JUL-2002,,13,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
48,10162768,THE ALEXANDER HERITAGE FOUNDATION,PMA,Panama,PAN,Panama,29-JUL-2005,06-MAY-2009,15-JAN-2008,,,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
49,10162813,STREET CHILDREN FOUNDATION,PMA,Panama,BLZ,Belize,28-DEC-2001,19-JAN-2005,28-MAR-2004,,90,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
50,10163628,THE NEW YORK CITY FOUNDATION,PMA,Panama,GGY,Guernsey,12-JUL-2001,04-MAY-2009,15-JAN-2012,,63,Dissolved,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
51,10164054,BENJO EDUCATION FOUNDATION,PMA,Panama,GBR,United Kingdom,16-NOV-2004,16-JAN-2007,15-JAN-2007,,19,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
52,10164598,DREAMS OF FREEDOM INTERNATIONAL FOUNDATION,PMA,Panama,GBR,United Kingdom,18-JUL-2002,19-JAN-2005,18-OCT-2003,,43,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
53,10164621,WESTON INTERNATIONAL FOUNDATION,PMA,Panama,GBR,United Kingdom,15-JAN-2007,17-JUL-2009,15-JUL-2009,,97,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
54,10164728,THE ALEXANDER HERITAGE FOUNDATION,PMA,Panama,BHS,Bahamas,29-JUL-2005,11-MAY-2009,15-JAN-2010,,70,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
55,10164958,THE CREATIVE FUND FOUNDATION,PMA,Panama,LUX,Luxembourg,15-JAN-1997,25-OCT-2013,15-JUL-2015,,20,Dissolved,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
56,10165573,HERITAGE VALUE FOUNDATION,PMA,Panama,CHE,Switzerland,16-JAN-2004,,,,03,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
57,10165831,THE NEW VISION FOUNDATION,PMA,Panama,CHE,Switzerland,22-MAR-2007,,,,73,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
58,10165929,ST. EDMUNDS FOUNDATION,PMA,Panama,VGB,British Virgin Islands,13-NOV-2003,04-FEB-2011,15-JAN-2013,,86,Dissolved,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
59,10166344,Widder Education Foundation,PMA,Panama,PAN,Panama,08-JUL-2010,,,,60,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
60,10166406,INDIA INVESTMENTS FOUNDATION,PMA,Panama,IMN,Isle of Man,22-JUN-2007,,,,19,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
61,10166682,WESTON GROUP FOUNDATION,PMA,Panama,BRA,Brazil,22-JUL-2008,24-JAN-2013,15-JAN-2013,,00,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
62,10166896,VANCOUVER PROPERTY FOUNDATION,PMA,Panama,JEY,Jersey,30-OCT-2003,31-DEC-2013,15-JAN-2016,,34,Dissolved,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
63,10167249,FAMILY FOUNDATION,PMA,Panama,BLZ,Belize,20-JUN-2000,01-AUG-2002,20-SEP-2001,,64,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
64,10167253,NATIONS FOUNDATION,PMA,Panama,BLZ,Belize,22-SEP-1999,02-AUG-2002,22-DEC-2001,,86,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
65,10167383,HIGH BECK FOUNDATION,PMA,Panama,BHS,Bahamas,27-MAR-2006,16-JUL-2008,15-JUL-2008,,42,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
66,10167398,NET CHILDREN'S FOUNDATION,PMA,Panama,CHE,Switzerland,01-MAR-2000,17-APR-2001,01-JUN-2001,,17,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
67,10167679,HERITAGE GLOBAL FOUNDATION,PMA,Panama,BHS,Bahamas,22-MAY-2006,17-JUL-2015,15-JUL-2015,,36,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
68,10168427,THE ARCTIC INVESTMENT FOUNDATION,PMA,Panama,JEY,Jersey,28-JAN-2005,20-JUL-2006,15-JUL-2007,,84,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
69,10168616,EMMA ENTERTAINMENT FOUNDATION,PMA,Panama,NLD,Netherlands,25-FEB-2011,05-JUN-2012,15-JUL-2013,,30,Bad debt account,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
70,10168737,CARTHAGE  FOUNDATION,PMA,Panama,JEY,Jersey,24-MAR-2004,05-JUN-2008,15-JUL-2009,,72,Dissolved,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
71,10168786,Foundation For Human Development,PMA,Panama,ARE,United Arab Emirates,23-FEB-2012,,,,37,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
72,10169207,MARIE INTERNATIONAL INC.,BAH,Bahamas,RUS,Russia,14-SEP-1993,05-JAN-1995,31-DEC-1994,,17086-B,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
73,10169327,COMMUNITY UPLIFTING FOUNDATION,PMA,Panama,CHE,Switzerland,18-OCT-2004,,,,15,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
74,10180475,THE TUDOR INVESTMENT FUND LIMITED,BAH,Bahamas,IMN,Isle of Man,29-AUG-2000,04-JAN-2002,31-DEC-2001,,"113,255 B",Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
75,10181757,WORLD INTERNATIONAL LTD.,BAH,Bahamas,ARE,United Arab Emirates,08-FEB-2001,,31-DEC-2002,,118547 B,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
76,10181919,CHRISTIAN INTERNATIONAL LTD.,BAH,Bahamas,HKG,Hong Kong,11-JUL-1997,03-JAN-2013,31-DEC-2012,,"62,102 B",Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
77,10211286,THE TRADEWINDS INVESTMENT FOUNDATION,PMA,Panama,IMN,Isle of Man,04-MAR-2004,,,,61,Active,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
78,10212007,HIGH BECK FOUNDATION,PMA,Panama,PAN,Panama,27-MAR-2006,19-JAN-2010,15-JUL-2008,,,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
79,10212191,VANCOUVER PROPERTY FOUNDATION,PMA,Panama,PAN,Panama,30-OCT-2003,18-JUN-2008,31-DEC-2005,,,Inactivated,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
80,10213977,HERITAGE GLOBAL FOUNDATION,PMA,Panama,PAN,Panama,22-MAY-2006,22-JUL-2015,15-JUL-2008,,,Defaulted,,Mossack Fonseca,Panama Papers,The Panama Papers data is current through 2015,
81,12013331,THE BEARER,,,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
82,12096317,Kanis S.A.,VGB,British Virgin Islands,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
83,12096931,LARRY STUBBLEFIELD,USA,United States,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
84,12131024,GMG Trust Ltd,MUS,Mauritius,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
85,12131025,GMG Trust Ltd.,MUS,Mauritius,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
86,12146004,VALINGER TRUSTEES LIMITED,KNA,Saint Kitts and Nevis,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
87,12146005,Independent Guardian Trustees Ltd,KNA,Saint Kitts and Nevis,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
88,12154650,Independent Guardian Trustees Ltd.,KNA,Saint Kitts and Nevis,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
89,12161015,HUANG YING,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
90,12161016,WAN WAI ON,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
91,12164726,AZTEC HOLDINGS LIMITED,KNA,Saint Kitts and Nevis,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
92,12176209,MEDIMEX INTERNATIONAL LIMITED,GGY,Guernsey,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
93,12190239,MEDIMEX INTERNATIONAL LIMITED,GGY,Guernsey,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
94,12220057,SMS LTD,GGY,Guernsey,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
95,12220058,GCS LTD,GGY,Guernsey,Panama Papers,The Panama Papers data is current through 2015,,,,,,,,,,,
